videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
L1ung0wil9Y,"""Uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh...""",2022-04-14T21:12:26Z,Ben Chuft,https://yt3.ggpht.com/ytc/AKedOLTTSxJF3hU0wTan_wnpVEBX-eWIrK-2nxI9R61q1GIAv7X8rzWeOw84CJePnOm7=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,"Ah, that terrible at&t syntax 😁",2022-04-11T16:37:13Z,Thomas Kjørnes,https://yt3.ggpht.com/ytc/AKedOLTht0szB3tFLhAJfEavU1zn7xCdB68A0dSxYpioHw=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,Watch your umms.,2022-04-09T07:24:45Z,Caleb,https://yt3.ggpht.com/ytc/AKedOLRkbFLMT6_JCPuDtjDMKQaddZpn2Sbe2kcbsgSP-A=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,I like how at MIT “Assembly Language & Computer Architecture” is just a single lecture xD,2022-04-02T04:15:25Z,America Project,https://yt3.ggpht.com/ytc/AKedOLRdg6ot7F-seXtA6HAyPaH4RGnYhn1bwRr2IWfN=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,"Interesting! I, much like the professor, started by doing most software projects in assembly code. Over the years I learned many, once you get the hang of one, others come more easily. I was reflecting back on one project I worked on where the code ran on an IBM 370, there were many groups involved, each writing code with only a specification sheet. I later learned it was a government secret project, so one group didn't know much about any other, all we ever saw of other groups work was object code modules for the linker which got linked to our code. Software breaks, in several cases the code authoring group no longer existed (Legacy) and if there was source code it was classified, when we traced a fault to such an object module we often had to disassemble it to figure out what it was doing. Our group usually wrote in IBM370 assembly, but we soon discovered that other groups had used many different languages - you can recognize compiler constructs after a while. Some code was written in C, FORTRAN, PL1,  COBOL, even FORTH and assembly. Once we figured out what was broken, we had to write a patch for that object module - remember it was legacy code - no",2022-03-28T02:40:59Z,Velin,https://yt3.ggpht.com/h0wJoqeMFF_lx8gAK_6GkgA9HpaseNOSh4g8VvTrSDo2ffBMxFG6_mZiUz2BZ-ywi8FPAGEl=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,"closed captions on... 10:00 : ""..get the sauce..."" - funny",2022-03-23T17:44:56Z,Jose Swarthy,https://yt3.ggpht.com/ytc/AKedOLRtBWUEAlRyc4BpgIBot0NHnItoKKYt-u59Q_sYAg=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,"Still changing the names of established barriers to optimization, I see. A resource contention that is causing a bottleneck is now called a Hazard.  In C we could wait on the resource and set a counter to come and check again. In C++ we could set semaphore to flag us when the resource is available.The compiler optimizer should manage resource contention, and not middle ware or app code. In my book a Hazard begats errors, crashes, data loss , downtime, and many sleepless nights. Why overly dramatize the loss of a dozen or two cycles? If you can't afford another $50 G for more parallelism, build smarter compilers, linkers, and 1st pass code scanners. These can work wonders. Work with your CPU consultant at the chip vendor. They have great ideas and they don't get no respect. Talk with them and go with extra buckets for the mind dump you're gonna get. Some will even write the code for you.",2022-03-06T11:32:24Z,kwgm,https://yt3.ggpht.com/ytc/AKedOLRUqoBeO5pdtuLgoipfr02BdLWzitABekcteDd0Bg=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,"“People who are more than casually interested in computers should have at least some idea of what the underlying hardware is like.  Otherwise the programs they write will be pretty weird.""  —Donald E. Knuth",2022-03-05T08:29:44Z,America Project,https://yt3.ggpht.com/ytc/AKedOLRdg6ot7F-seXtA6HAyPaH4RGnYhn1bwRr2IWfN=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,"Mad props for describing assembly language as “really similar” to machine language, rather than so many lesser, hand-waving instructors I’ve seen who talk about a “one-to-one” correspondence between the two, which is both inaccurate and misleading for so many reasons",2022-03-05T08:28:07Z,America Project,https://yt3.ggpht.com/ytc/AKedOLRdg6ot7F-seXtA6HAyPaH4RGnYhn1bwRr2IWfN=s48-c-k-c0x00ffffff-no-rj
L1ung0wil9Y,"What a great mindset!  13:19 : `` Go one step beyond, and then you can come back!``",2022-03-04T18:01:49Z,Ali,https://yt3.ggpht.com/ytc/AKedOLSrnDmJO3OwHjhudjo2DGh8FQBhvKc5a0-SJFKLnQ=s48-c-k-c0x00ffffff-no-rj
